1 : The number of records in the county  Appling  is:  2
3 : The number of records in the county  Bacon  is:  1
5 : The number of records in the county  Baldwin  is:  4
6 : The number of records in the county  Banks  is:  2
7 : The number of records in the county  Barrow  is:  19
8 : The number of records in the county  Bartow  is:  16
9 : The number of records in the county  Ben%20Hill  is:  6
10 : The number of records in the county  Berrien  is:  1
11 : The number of records in the county  Bibb  is:  38
14 : The number of records in the county  Brooks  is:  3
15 : The number of records in the county  Bryan  is:  6
16 : The number of records in the county  Bulloch  is:  12
17 : The number of records in the county  Burke  is:  5
18 : The number of records in the county  Butts  is:  4
20 : The number of records in the county  Camden  is:  17
21 : The number of records in the county  Candler  is:  1
22 : The number of records in the county  Carroll  is:  24
23 : The number of records in the county  Catoosa  is:  7
24 : The number of records in the county  Charlton  is:  2
25 : The number of records in the county  Chatham  is:  61
27 : The number of records in the county  Chattooga  is:  2
28 : The number of records in the county  Cherokee  is:  27
29 : The number of records in the county  Clarke  is:  14
30 : The number of records in the county  Clay  is:  1
31 : The number of records in the county  Clayton  is:  82
33 : The number of records in the county  Cobb  is:  68
34 : The number of records in the county  Coffee  is:  1
35 : The number of records in the county  Colquitt  is:  9
36 : The number of records in the county  Columbia  is:  25
37 : The number of records in the county  Cook  is:  7
38 : The number of records in the county  Coweta  is:  27
39 : The number of records in the county  Crawford  is:  3
40 : The number of records in the county  Crisp  is:  1
41 : The number of records in the county  Dade  is:  1
42 : The number of records in the county  Dawson  is:  4
43 : The number of records in the county  Decatur  is:  9
44 : The number of records in the county  Dekalb  is:  147
47 : The number of records in the county  Dougherty  is:  28
48 : The number of records in the county  Douglas  is:  40
49 : The number of records in the county  Early  is:  1
51 : The number of records in the county  Effingham  is:  15
52 : The number of records in the county  Elbert  is:  3
53 : The number of records in the county  Emanuel  is:  3
54 : The number of records in the county  Evans  is:  2
55 : The number of records in the county  Fannin  is:  3
56 : The number of records in the county  Fayette  is:  20
57 : The number of records in the county  Floyd  is:  5
58 : The number of records in the county  Forsyth  is:  18
59 : The number of records in the county  Fulton  is:  193
60 : The number of records in the county  Franklin  is:  3
61 : The number of records in the county  Glascock  is:  1
62 : The number of records in the county  Glynn  is:  12
63 : The number of records in the county  Gordon  is:  8
64 : The number of records in the county  Gilmer  is:  6
65 : The number of records in the county  Grady  is:  3
66 : The number of records in the county  Greene  is:  1
67 : The number of records in the county  Gwinnett  is:  152
68 : The number of records in the county  Habersham  is:  5
69 : The number of records in the county  Hall  is:  18
70 : The number of records in the county  Hancock  is:  1
71 : The number of records in the county  Haralson  is:  4
72 : The number of records in the county  Harris  is:  3
73 : The number of records in the county  Hart  is:  2
74 : The number of records in the county  Heard  is:  1
75 : The number of records in the county  Henry  is:  70
76 : The number of records in the county  Houston  is:  34
78 : The number of records in the county  Jackson  is:  14
79 : The number of records in the county  Jasper  is:  3
80 : The number of records in the county  Jeff%20Davis  is:  3
81 : The number of records in the county  Jefferson  is:  4
82 : The number of records in the county  Jenkins  is:  1
84 : The number of records in the county  Jones  is:  7
85 : The number of records in the county  Lamar  is:  4
88 : The number of records in the county  Lee  is:  8
89 : The number of records in the county  Liberty  is:  21
90 : The number of records in the county  Long  is:  1
91 : The number of records in the county  Lincoln  is:  1
92 : The number of records in the county  Lowndes  is:  25
93 : The number of records in the county  Lumpkin  is:  5
95 : The number of records in the county  Madison  is:  6
96 : The number of records in the county  Marion  is:  2
97 : The number of records in the county  McDuffie  is:  6
98 : The number of records in the county  McIntosh  is:  2
99 : The number of records in the county  Meriwether  is:  3
100 : The number of records in the county  Miller  is:  1
101 : The number of records in the county  Mitchell  is:  2
102 : The number of records in the county  Monroe  is:  6
104 : The number of records in the county  Morgan  is:  4
105 : The number of records in the county  Murray  is:  8
106 : The number of records in the county  Muscogee  is:  40
107 : The number of records in the county  Newton  is:  29
108 : The number of records in the county  Oconee  is:  4
109 : The number of records in the county  Oglethorpe  is:  1
111 : The number of records in the county  Peach  is:  7
112 : The number of records in the county  Pickens  is:  9
113 : The number of records in the county  Pierce  is:  4
114 : The number of records in the county  Pike  is:  4
115 : The number of records in the county  Polk  is:  7
117 : The number of records in the county  Putnam  is:  7
120 : The number of records in the county  Randolph  is:  2
121 : The number of records in the county  Richmond  is:  48
122 : The number of records in the county  Rockdale  is:  31
123 : The number of records in the county  Schley  is:  2
124 : The number of records in the county  Screven  is:  2
125 : The number of records in the county  Seminole  is:  2
126 : The number of records in the county  Spalding  is:  15
127 : The number of records in the county  Stephens  is:  7
128 : The number of records in the county  Sumter  is:  4
132 : The number of records in the county  Taylor  is:  2
135 : The number of records in the county  Thomas  is:  7
136 : The number of records in the county  Tift  is:  6
137 : The number of records in the county  Toombs  is:  2
138 : The number of records in the county  Towns  is:  2
140 : The number of records in the county  Troup  is:  14
141 : The number of records in the county  Turner  is:  2
143 : The number of records in the county  Union  is:  2
144 : The number of records in the county  Upson  is:  2
145 : The number of records in the county  Walker  is:  10
146 : The number of records in the county  Walton  is:  23
147 : The number of records in the county  Ware  is:  3
148 : The number of records in the county  Warren  is:  3
149 : The number of records in the county  Washington  is:  1
150 : The number of records in the county  Wayne  is:  4
152 : The number of records in the county  Wheeler  is:  1
153 : The number of records in the county  White  is:  2
154 : The number of records in the county  Whitfield  is:  15
157 : The number of records in the county  Wilkinson  is:  1
158 : The number of records in the county  Worth  is:  3
